source	specimen	id	read_pairs	yield
illumina	drMalDome26	39617#33	367377098	55473941798
illumina	drMalDome39	39617#21	293431896	44308216296
illumina	drMalDome33	39617#26	355159180	53629036180
illumina	drMalDome31	39617#28	307744898	46469479598
illumina	drMalDome42	39617#18	309602864	46750032464
illumina	drMalDome12	39617#44	369215272	55751506072
illumina	drMalDome18	39617#41	296073892	44707157692
illumina	drMalDome21	39617#37	359404682	54270106982
illumina	drMalDome17	39617#43	749571154	113185244254
illumina	drMalDome37	39617#23	386393240	58345379240
illumina	drMalDome30	39617#29	341280104	51533295704
illumina	drMalDome34	39617#25	307437430	46423051930
illumina	drMalDome2	39617#3	315322410	47613683910
illumina	drMalDome44	39617#15	337811254	51009499354
illumina	drMalDome14	39617#47	361879510	54643806010
illumina	drMalDome6	39617#13	734965444	110979782044
illumina	drMalDome32	39617#27	362566576	54747552976
illumina	drMalDome19	39617#39	370703710	55976260210
illumina	drMalDome9	39617#10	706331846	106656108746
illumina	drMalDome28	39617#31	360394726	54419603626
illumina	drMalDome41	39617#19	324055142	48932326442
illumina	drMalDome13	39617#42	345833368	52220838568
illumina	drMalDome11	39712_1#7	941063492	142100587292
illumina	drMalDome11	39620_4#15	211114248	31878251448
illumina	drMalDome11	39620_4#14	94142904	14215578504
illumina	drMalDome11	39620_4#16	204549338	30886950038
illumina	drMalDome11	39620_4#13	167425272	25281216072
illumina	drMalDome10	39712_1#8	845220454	127628288554
illumina	drMalDome10	39620_4#20	172775266	26089065166
illumina	drMalDome10	39620_4#17	159385546	24067217446
illumina	drMalDome10	39620_4#19	231872892	35012806692
illumina	drMalDome10	39620_4#18	127848542	19305129842
illumina	drMalDome1	39617#4	593625876	89637507276
illumina	drMalDome43	39617#16	398555114	60181822214
illumina	drMalDome20	39617#38	358420828	54121545028
illumina	drMalDome22	39617#36	284668122	42984886422
illumina	drMalDome57	39617#48	770383130	116327852630
illumina	drMalDome58	39712_1#6	684219132	103317088932
illumina	drMalDome58	39620_4#12	182791770	27601557270
illumina	drMalDome58	39620_4#9	191561932	28925851732
illumina	drMalDome58	39620_4#10	151687764	22904852364
illumina	drMalDome58	39620_4#11	188744358	28500398058
illumina	drMalDome24	39617#35	303485552	45826318352
illumina	drMalDome16	39617#45	365147768	55137312968
illumina	drMalDome25	39617#34	270935826	40911309726
illumina	drMalDome7	39617#12	344665216	52044447616
illumina	drMalDome4	39617#1	282525790	42661394290
illumina	drMalDome45	39617#14	373892492	56457766292
illumina	drMalDome8	39617#11	354959876	53598941276
illumina	drMalDome3	39617#2	657884484	99340557084
illumina	drMalDome27	39617#32	373484916	56396222316
illumina	drMalDome38	39617#22	340232722	51375141022
illumina	drMalDome15	39617#46	782990442	118231556742
illumina	drMalDome29	39617#30	360919358	54498823058
illumina	drMalDome5	39712_1#4	726277016	109667829416
illumina	drMalDome5	39620_4#2	166093804	25080164404
illumina	drMalDome5	39620_4#3	144899642	21879845942
illumina	drMalDome5	39620_4#1	181160104	27355175704
illumina	drMalDome5	39620_4#4	167728328	25326977528
illumina	drMalDome35	39617#24	370318248	55918055448
illumina	drMalDome40	39617#20	360283114	54402750214
illumina	drMalDome36	39617#17	364690374	55068246474
